log(fluence_n_cm2),wt_percent_Cu,wt_percent_Ni,temperature_C,log(flux_n_cm2_sec),wt_percent_Mn,wt_percent_P,wt_percent_C,wt_percent_Si,Product Form_2,Product Form_5,Product Form_0,Product Form_3,Product Form_4,Product Form_1
18.17609125905568,0.1,0.18,298.8888888888889,10.80169488914176,1.42,0.016,0.3,0.25,1.0,0.0,0.0,0.0,0.0,0.0
19.36172783601759,0.1,0.18,298.8888888888889,11.98733146610367,1.42,0.016,0.3,0.25,1.0,0.0,0.0,0.0,0.0,0.0
20.02938377768521,0.1,0.18,298.8888888888889,12.21086757144151,1.42,0.016,0.3,0.25,1.0,0.0,0.0,0.0,0.0,0.0
18.85125834871907,0.1,0.18,298.8888888888889,10.87808244817499,1.42,0.016,0.3,0.25,1.0,0.0,0.0,0.0,0.0,0.0
19.35602585719312,0.1,0.18,298.8888888888889,10.92145439849302,1.42,0.016,0.3,0.25,1.0,0.0,0.0,0.0,0.0,0.0
18.17609125905568,0.27,0.1,298.8888888888889,10.80169488914176,1.25,0.014,0.12,0.28,0.0,1.0,0.0,0.0,0.0,0.0
18.85125834871907,0.27,0.1,298.8888888888889,10.87808244817499,1.25,0.014,0.12,0.28,0.0,1.0,0.0,0.0,0.0,0.0
19.35602585719312,0.27,0.1,298.8888888888889,10.92145439849302,1.25,0.014,0.12,0.28,0.0,1.0,0.0,0.0,0.0,0.0
18.48000694295715,0.2,0.54,283.8888888888889,10.90201908997416,1.31,0.01,0.2,0.18,1.0,0.0,0.0,0.0,0.0,0.0
18.79239168949825,0.2,0.54,283.8888888888889,10.7372825817956,1.31,0.01,0.2,0.18,1.0,0.0,0.0,0.0,0.0,0.0
18.97954837470409,0.2,0.54,283.8888888888889,10.70988975612658,1.31,0.01,0.2,0.18,1.0,0.0,0.0,0.0,0.0,0.0
19.32221929473392,0.2,0.54,283.8888888888889,10.66807665033349,1.31,0.01,0.2,0.18,1.0,0.0,0.0,0.0,0.0,0.0
18.48000694295715,0.2,0.54,283.8888888888889,10.90201908997416,1.31,0.01,0.2,0.18,1.0,0.0,0.0,0.0,0.0,0.0
18.79239168949825,0.2,0.54,283.8888888888889,10.7372825817956,1.31,0.01,0.2,0.18,1.0,0.0,0.0,0.0,0.0,0.0
18.97954837470409,0.2,0.54,283.8888888888889,10.70988975612658,1.31,0.01,0.2,0.18,1.0,0.0,0.0,0.0,0.0,0.0
19.32221929473392,0.2,0.54,283.8888888888889,10.66807665033349,1.31,0.01,0.2,0.18,1.0,0.0,0.0,0.0,0.0,0.0
18.48000694295715,0.26,0.62,283.8888888888889,10.90201908997416,1.37,0.018,0.11,0.27,0.0,1.0,0.0,0.0,0.0,0.0
18.79239168949825,0.26,0.62,283.8888888888889,10.7372825817956,1.37,0.018,0.11,0.27,0.0,1.0,0.0,0.0,0.0,0.0
18.97954837470409,0.26,0.62,283.8888888888889,10.70988975612658,1.37,0.018,0.11,0.27,0.0,1.0,0.0,0.0,0.0,0.0
19.32221929473392,0.26,0.62,283.8888888888889,10.66807665033349,1.37,0.018,0.11,0.27,0.0,1.0,0.0,0.0,0.0,0.0
18.78532983501077,0.05,0.56,283.8888888888889,11.15618945958039,1.32,0.01,0.24,0.24,1.0,0.0,0.0,0.0,0.0,0.0
19.41830129131975,0.05,0.56,283.8888888888889,11.14134343400073,1.32,0.01,0.24,0.24,1.0,0.0,0.0,0.0,0.0,0.0
19.56584781867352,0.05,0.56,283.8888888888889,11.07360498124054,1.32,0.01,0.24,0.24,1.0,0.0,0.0,0.0,0.0,0.0
18.78532983501077,0.05,0.56,283.8888888888889,11.15618945958039,1.32,0.01,0.24,0.24,1.0,0.0,0.0,0.0,0.0,0.0
19.41830129131975,0.05,0.56,283.8888888888889,11.14134343400073,1.32,0.01,0.24,0.24,1.0,0.0,0.0,0.0,0.0,0.0
19.56584781867352,0.05,0.56,283.8888888888889,11.07360498124054,1.32,0.01,0.24,0.24,1.0,0.0,0.0,0.0,0.0,0.0
